work_key,author,title,group,code
1|aischylos|oresteia,AISCHYLOS,Oresteia,narodni,svetova
1|aischylos|oresteia,AISCHYLOS,Oresteia,forma,drama
1|aischylos|oresteia,AISCHYLOS,Oresteia,podobdobi,starovek
1|alighieri-dante|peklo,"ALIGHIERI, Dante",Peklo,narodni,svetova
1|alighieri-dante|peklo,"ALIGHIERI, Dante",Peklo,forma,poezie
1|alighieri-dante|peklo,"ALIGHIERI, Dante",Peklo,podobdobi,stredovek
1|apuleius|promeny-aneb-zlaty-osel,APULEIUS,Proměny aneb Zlatý osel,narodni,svetova
1|apuleius|promeny-aneb-zlaty-osel,APULEIUS,Proměny aneb Zlatý osel,forma,proza
1|apuleius|promeny-aneb-zlaty-osel,APULEIUS,Proměny aneb Zlatý osel,podobdobi,starovek
1|anon|beowulf,,Beowulf,narodni,svetova
1|anon|beowulf,,Beowulf,podobdobi,stredovek
1|boccaccio-giovanni|dekameron,"BOCCACCIO, Giovanni",Dekameron,narodni,svetova
1|boccaccio-giovanni|dekameron,"BOCCACCIO, Giovanni",Dekameron,podobdobi,renesance
1|bridel-bedrich|co-buh-clovek,"BRIDEL, Bedřich",Co Bůh? Člověk?,narodni,ceska
1|bridel-bedrich|co-buh-clovek,"BRIDEL, Bedřich",Co Bůh? Člověk?,forma,poezie
1|bridel-bedrich|co-buh-clovek,"BRIDEL, Bedřich",Co Bůh? Člověk?,podobdobi,baroko
1|calderon-de-la-barca-pedro|zivot-je-sen,"CALDERÓN DE LA BARCA, Pedro",Život je sen,narodni,svetova
1|calderon-de-la-barca-pedro|zivot-je-sen,"CALDERÓN DE LA BARCA, Pedro",Život je sen,forma,drama
1|calderon-de-la-barca-pedro|zivot-je-sen,"CALDERÓN DE LA BARCA, Pedro",Život je sen,podobdobi,baroko
1|cervantes-miguel-de|dumyslny-rytir-don-quijote-de-la-mancha,"CERVANTES, Miguel de",Důmyslný rytíř Don Quijote de la Mancha,narodni,svetova
1|cervantes-miguel-de|dumyslny-rytir-don-quijote-de-la-mancha,"CERVANTES, Miguel de",Důmyslný rytíř Don Quijote de la Mancha,forma,proza
1|cervantes-miguel-de|dumyslny-rytir-don-quijote-de-la-mancha,"CERVANTES, Miguel de",Důmyslný rytíř Don Quijote de la Mancha,podobdobi,renesance
1|anon|ceska-stredoveka-lyrika,,Česká středověká lyrika,narodni,ceska
1|anon|ceska-stredoveka-lyrika,,Česká středověká lyrika,forma,poezie
1|anon|ceska-stredoveka-lyrika,,Česká středověká lyrika,podobdobi,stredovek
1|defoe-daniel|robinson-crusoe,"DEFOE, Daniel",Robinson Crusoe,narodni,svetova
1|defoe-daniel|robinson-crusoe,"DEFOE, Daniel",Robinson Crusoe,forma,proza
1|defoe-daniel|robinson-crusoe,"DEFOE, Daniel",Robinson Crusoe,podobdobi,klasicismus
1|diderot-denis|jakub-fatalista,"DIDEROT, Denis",Jakub fatalista,narodni,svetova
1|diderot-denis|jakub-fatalista,"DIDEROT, Denis",Jakub fatalista,forma,proza
1|diderot-denis|jakub-fatalista,"DIDEROT, Denis",Jakub fatalista,podobdobi,klasicismus
1|diderot-denis|jeptiska,"DIDEROT, Denis",Jeptiška,narodni,svetova
1|diderot-denis|jeptiska,"DIDEROT, Denis",Jeptiška,forma,proza
1|diderot-denis|jeptiska,"DIDEROT, Denis",Jeptiška,podobdobi,klasicismus
1|anon|edda,,Edda,narodni,svetova
1|anon|edda,,Edda,podobdobi,stredovek
1|anon|epos-o-gilgamesovi,,Epos o Gilgamešovi,narodni,svetova
1|anon|epos-o-gilgamesovi,,Epos o Gilgamešovi,podobdobi,starovek
1|euripides|medeia,EURÍPIDÉS,Médeia,narodni,svetova
1|euripides|medeia,EURÍPIDÉS,Médeia,forma,drama
1|euripides|medeia,EURÍPIDÉS,Médeia,podobdobi,starovek
1|goldoni-carlo|poprask-na-lagune,"GOLDONI, Carlo",Poprask na laguně,narodni,svetova
1|goldoni-carlo|poprask-na-lagune,"GOLDONI, Carlo",Poprask na laguně,forma,drama
1|goldoni-carlo|poprask-na-lagune,"GOLDONI, Carlo",Poprask na laguně,podobdobi,klasicismus
1|grimmelshausen-hans-jakob-christoffel|dobrodruzny-simplicius-simplicissimus,"GRIMMELSHAUSEN, Hans Jakob Christoffel",Dobrodružný Simplicius Simplicissimus,narodni,svetova
1|grimmelshausen-hans-jakob-christoffel|dobrodruzny-simplicius-simplicissimus,"GRIMMELSHAUSEN, Hans Jakob Christoffel",Dobrodružný Simplicius Simplicissimus,forma,proza
1|grimmelshausen-hans-jakob-christoffel|dobrodruzny-simplicius-simplicissimus,"GRIMMELSHAUSEN, Hans Jakob Christoffel",Dobrodružný Simplicius Simplicissimus,podobdobi,baroko
1|homer|odysseia,HOMÉR,Odysseia,narodni,svetova
1|homer|odysseia,HOMÉR,Odysseia,forma,poezie
1|homer|odysseia,HOMÉR,Odysseia,podobdobi,starovek
1|homer|ilias,HOMÉR,Ílias,narodni,svetova
1|homer|ilias,HOMÉR,Ílias,podobdobi,starovek
1|chaucer-geoffrey|canterburske-povidky,"CHAUCER, Geoffrey",Canterburské povídky,narodni,svetova
1|chaucer-geoffrey|canterburske-povidky,"CHAUCER, Geoffrey",Canterburské povídky,podobdobi,stredovek
1|anon|kez-hori-popel-muj,,Kéž hoří popel můj,narodni,ceska
1|anon|kez-hori-popel-muj,,Kéž hoří popel můj,forma,poezie
1|anon|kez-hori-popel-muj,,Kéž hoří popel můj,podobdobi,baroko
1|komensky-jan-amos|labyrint-sveta-a-raj-srdce,"KOMENSKÝ, Jan Amos",Labyrint světa a ráj srdce,narodni,ceska
1|komensky-jan-amos|labyrint-sveta-a-raj-srdce,"KOMENSKÝ, Jan Amos",Labyrint světa a ráj srdce,forma,proza
1|komensky-jan-amos|labyrint-sveta-a-raj-srdce,"KOMENSKÝ, Jan Amos",Labyrint světa a ráj srdce,podobdobi,baroko
1|kosmas|kronika-ceska,KOSMAS,Kronika česká,narodni,ceska
1|kosmas|kronika-ceska,KOSMAS,Kronika česká,forma,proza
1|kosmas|kronika-ceska,KOSMAS,Kronika česká,podobdobi,stredovek
1|anon|kristianova-legenda,,Kristiánova legenda,narodni,ceska
1|anon|kristianova-legenda,,Kristiánova legenda,forma,proza
1|anon|kristianova-legenda,,Kristiánova legenda,podobdobi,stredovek
1|laclos-choderlos-de|nebezpecne-znamosti,"LACLOS, Choderlos de",Nebezpečné známosti,narodni,svetova
1|laclos-choderlos-de|nebezpecne-znamosti,"LACLOS, Choderlos de",Nebezpečné známosti,forma,proza
