work_key,author,title,group,code
1|aischylos|oresteia,AISCHYLOS,Oresteia,narodni,
1|aischylos|oresteia,AISCHYLOS,Oresteia,forma,
1|aischylos|oresteia,AISCHYLOS,Oresteia,podobdobi,
1|alighieri-dante|peklo,"ALIGHIERI, Dante",Peklo,narodni,
1|alighieri-dante|peklo,"ALIGHIERI, Dante",Peklo,forma,
1|alighieri-dante|peklo,"ALIGHIERI, Dante",Peklo,podobdobi,
1|apuleius|promeny-aneb-zlaty-osel,APULEIUS,"Proměny aneb Zlatý osel",narodni,
1|apuleius|promeny-aneb-zlaty-osel,APULEIUS,"Proměny aneb Zlatý osel",forma,
1|apuleius|promeny-aneb-zlaty-osel,APULEIUS,"Proměny aneb Zlatý osel",podobdobi,
1|anon|beowulf,,Beowulf,narodni,
1|anon|beowulf,,Beowulf,podobdobi,
1|boccaccio-giovanni|dekameron,"BOCCACCIO, Giovanni",Dekameron,narodni,
1|boccaccio-giovanni|dekameron,"BOCCACCIO, Giovanni",Dekameron,podobdobi,
1|bridel-bedrich|co-buh-clovek,"BRIDEL, Bedřich","Co Bůh? Člověk?",narodni,
1|bridel-bedrich|co-buh-clovek,"BRIDEL, Bedřich","Co Bůh? Člověk?",forma,
1|bridel-bedrich|co-buh-clovek,"BRIDEL, Bedřich","Co Bůh? Člověk?",podobdobi,
1|calderon-de-la-barca-pedro|zivot-je-sen,"CALDERÓN DE LA BARCA, Pedro","Život je sen",narodni,
1|calderon-de-la-barca-pedro|zivot-je-sen,"CALDERÓN DE LA BARCA, Pedro","Život je sen",forma,
1|calderon-de-la-barca-pedro|zivot-je-sen,"CALDERÓN DE LA BARCA, Pedro","Život je sen",podobdobi,
1|cervantes-miguel-de|dumyslny-rytir-don-quijote-de-la-mancha,"CERVANTES, Miguel de","Důmyslný rytíř Don Quijote de la Mancha",narodni,
1|cervantes-miguel-de|dumyslny-rytir-don-quijote-de-la-mancha,"CERVANTES, Miguel de","Důmyslný rytíř Don Quijote de la Mancha",forma,
1|cervantes-miguel-de|dumyslny-rytir-don-quijote-de-la-mancha,"CERVANTES, Miguel de","Důmyslný rytíř Don Quijote de la Mancha",podobdobi,
1|anon|ceska-stredoveka-lyrika,,"Česká středověká lyrika",narodni,
1|anon|ceska-stredoveka-lyrika,,"Česká středověká lyrika",forma,
1|anon|ceska-stredoveka-lyrika,,"Česká středověká lyrika",podobdobi,
1|defoe-daniel|robinson-crusoe,"DEFOE, Daniel","Robinson Crusoe",narodni,
1|defoe-daniel|robinson-crusoe,"DEFOE, Daniel","Robinson Crusoe",forma,
1|defoe-daniel|robinson-crusoe,"DEFOE, Daniel","Robinson Crusoe",podobdobi,
1|diderot-denis|jakub-fatalista,"DIDEROT, Denis","Jakub fatalista",narodni,
1|diderot-denis|jakub-fatalista,"DIDEROT, Denis","Jakub fatalista",forma,
1|diderot-denis|jakub-fatalista,"DIDEROT, Denis","Jakub fatalista",podobdobi,
1|diderot-denis|jeptiska,"DIDEROT, Denis",Jeptiška,narodni,
1|diderot-denis|jeptiska,"DIDEROT, Denis",Jeptiška,forma,
1|diderot-denis|jeptiska,"DIDEROT, Denis",Jeptiška,podobdobi,
1|anon|edda,,Edda,narodni,
1|anon|edda,,Edda,podobdobi,
1|anon|epos-o-gilgamesovi,,"Epos o Gilgamešovi",narodni,
1|anon|epos-o-gilgamesovi,,"Epos o Gilgamešovi",podobdobi,
1|euripides|medeia,EURÍPIDÉS,Médeia,narodni,
1|euripides|medeia,EURÍPIDÉS,Médeia,forma,
1|euripides|medeia,EURÍPIDÉS,Médeia,podobdobi,
1|goldoni-carlo|poprask-na-lagune,"GOLDONI, Carlo","Poprask na laguně",narodni,
1|goldoni-carlo|poprask-na-lagune,"GOLDONI, Carlo","Poprask na laguně",forma,
1|goldoni-carlo|poprask-na-lagune,"GOLDONI, Carlo","Poprask na laguně",podobdobi,
1|grimmelshausen-hans-jakob-christoffel|dobrodruzny-simplicius-simplicissimus,"GRIMMELSHAUSEN, Hans Jakob Christoffel","Dobrodružný Simplicius Simplicissimus",narodni,
1|grimmelshausen-hans-jakob-christoffel|dobrodruzny-simplicius-simplicissimus,"GRIMMELSHAUSEN, Hans Jakob Christoffel","Dobrodružný Simplicius Simplicissimus",forma,
1|grimmelshausen-hans-jakob-christoffel|dobrodruzny-simplicius-simplicissimus,"GRIMMELSHAUSEN, Hans Jakob Christoffel","Dobrodružný Simplicius Simplicissimus",podobdobi,
1|homer|odysseia,HOMÉR,Odysseia,narodni,
1|homer|odysseia,HOMÉR,Odysseia,forma,
1|homer|odysseia,HOMÉR,Odysseia,podobdobi,
1|homer|ilias,HOMÉR,Ílias,narodni,
1|homer|ilias,HOMÉR,Ílias,podobdobi,
1|chaucer-geoffrey|canterburske-povidky,"CHAUCER, Geoffrey","Canterburské povídky",narodni,
1|chaucer-geoffrey|canterburske-povidky,"CHAUCER, Geoffrey","Canterburské povídky",podobdobi,
1|anon|kez-hori-popel-muj,,"Kéž hoří popel můj",narodni,
1|anon|kez-hori-popel-muj,,"Kéž hoří popel můj",forma,
1|anon|kez-hori-popel-muj,,"Kéž hoří popel můj",podobdobi,
1|komensky-jan-amos|labyrint-sveta-a-raj-srdce,"KOMENSKÝ, Jan Amos","Labyrint světa a ráj srdce",narodni,
1|komensky-jan-amos|labyrint-sveta-a-raj-srdce,"KOMENSKÝ, Jan Amos","Labyrint světa a ráj srdce",forma,
1|komensky-jan-amos|labyrint-sveta-a-raj-srdce,"KOMENSKÝ, Jan Amos","Labyrint světa a ráj srdce",podobdobi,
1|kosmas|kronika-ceska,KOSMAS,"Kronika česká",narodni,
1|kosmas|kronika-ceska,KOSMAS,"Kronika česká",forma,
1|kosmas|kronika-ceska,KOSMAS,"Kronika česká",podobdobi,
1|anon|kristianova-legenda,,"Kristiánova legenda",narodni,
1|anon|kristianova-legenda,,"Kristiánova legenda",forma,
1|anon|kristianova-legenda,,"Kristiánova legenda",podobdobi,
1|laclos-choderlos-de|nebezpecne-znamosti,"LACLOS, Choderlos de","Nebezpečné známosti",narodni,
1|laclos-choderlos-de|nebezpecne-znamosti,"LACLOS, Choderlos de","Nebezpečné známosti",forma,
1|laclos-choderlos-de|nebezpecne-znamosti,"LACLOS, Choderlos de","Nebezpečné známosti",podobdobi,
1|anon|legenda-o-svate-katerine,,"Legenda o svaté Kateřině",narodni,
1|anon|legenda-o-svate-katerine,,"Legenda o svaté Kateřině",podobdobi,
1|malory-thomas|artusova-smrt,"MALORY, Thomas","Artušova smrt",narodni,
1|malory-thomas|artusova-smrt,"MALORY, Thomas","Artušova smrt",forma,
1|malory-thomas|artusova-smrt,"MALORY, Thomas","Artušova smrt",podobdobi,
1|anon|maly-svet-jest-clovek,,"Malý svět jest člověk?",narodni,
1|anon|maly-svet-jest-clovek,,"Malý svět jest člověk?",forma,
1|anon|maly-svet-jest-clovek,,"Malý svět jest člověk?",podobdobi,
1|marlowe-christopher|doctor-faustus,"MARLOWE, Christopher","Doctor Faustus",narodni,
1|marlowe-christopher|doctor-faustus,"MARLOWE, Christopher","Doctor Faustus",forma,
1|marlowe-christopher|doctor-faustus,"MARLOWE, Christopher","Doctor Faustus",podobdobi,
1|moliere|misantrop,MOLIÈRE,Misantrop,narodni,
1|moliere|misantrop,MOLIÈRE,Misantrop,forma,
1|moliere|misantrop,MOLIÈRE,Misantrop,podobdobi,
1|montaigne-michel-de|eseje,"MONTAIGNE, Michel de",Eseje,narodni,
1|montaigne-michel-de|eseje,"MONTAIGNE, Michel de",Eseje,forma,
1|montaigne-michel-de|eseje,"MONTAIGNE, Michel de",Eseje,podobdobi,
1|more-thomas|utopia,"MORE, Thomas",Utopia,narodni,
1|more-thomas|utopia,"MORE, Thomas",Utopia,forma,
1|more-thomas|utopia,"MORE, Thomas",Utopia,podobdobi,
1|anon|navstiveni-krasy-italska-renesancni-lyrika,,"Navštívení krásy. Italská renesanční lyrika",narodni,
